is_male,num_inters,late_on_payment,age,years_in_contract,churned
0,1,0,26,1.58113883,0
1,0,0,31,3.5355339060000004,0
0,1,0,23,3.5355339060000004,1
1,1,0,31,3.8078865530000003,0
1,0,0,34,1.8708286930000002,0
1,0,0,33,3.8078865530000003,0
0,0,0,33,2.34520788,0
0,1,0,34,2.34520788,0
0,1,0,31,3.5355339060000004,0
1,1,0,36,2.34520788,0
0,1,0,42,1.8708286930000002,1
0,0,0,36,3.240370349,0
1,1,0,28,3.937003937,0
1,0,0,33,2.34520788,0
1,1,0,26,2.915475947,1
0,0,0,30,3.0822070010000004,0
1,4,0,37,3.674234614,0
1,1,0,33,3.674234614,0
1,0,0,32,2.121320344,0
1,1,0,30,2.121320344,1
1,1,0,28,3.0822070010000004,0
1,0,0,29,2.121320344,0
1,0,0,30,3.5355339060000004,0
1,0,0,28,3.3911649919999998,0
0,4,0,25,3.5355339060000004,0
1,0,0,32,3.240370349,0
0,0,0,22,1.8708286930000002,0
1,0,0,35,2.34520788,0
1,1,0,28,2.34520788,0
1,0,0,29,1.58113883,0
1,1,0,30,4.062019202,0
1,4,0,40,2.34520788,1
0,0,0,26,4.6368092480000005,0
1,0,0,31,2.34520788,0
0,1,0,29,1.8708286930000002,0
0,0,0,24,2.549509757,1
0,1,0,31,2.34520788,0
1,0,0,27,1.8708286930000002,0
1,1,0,22,3.5355339060000004,0
0,0,0,26,2.34520788,1
0,1,0,35,4.062019202,0
1,0,1,25,2.915475947,1
1,0,1,34,1.8708286930000002,0
0,1,0,23,3.0822070010000004,1
1,1,0,26,3.0822070010000004,1
0,1,0,37,3.3911649919999998,0
0,0,0,24,2.738612788,0
0,1,0,31,3.937003937,0
0,0,0,31,3.0822070010000004,0
0,0,0,34,4.415880433,0
1,0,0,31,1.8708286930000002,0
1,0,0,35,3.674234614,0
1,1,0,33,5.14781507,0
0,1,0,23,1.8708286930000002,1
1,1,0,25,3.3911649919999998,1
0,0,0,25,4.183300133,0
1,0,0,30,2.121320344,0
0,1,0,32,4.847679857,0
1,0,0,20,1.58113883,1
0,4,0,37,3.937003937,0
0,1,0,34,1.58113883,0
1,0,0,24,2.915475947,0
0,0,0,36,1.58113883,0
0,1,0,29,2.549509757,0
0,1,0,24,3.0822070010000004,0
1,0,0,27,1.224744871,0
0,1,0,32,2.549509757,0
1,0,0,29,2.121320344,0
0,0,0,35,2.738612788,0
1,0,0,32,2.738612788,0
1,1,0,30,3.3911649919999998,0
1,1,0,26,2.915475947,0
1,0,1,31,2.121320344,1
0,0,0,24,2.34520788,0
0,0,0,27,2.549509757,1
1,0,0,36,3.937003937,0
1,0,0,36,2.915475947,0
0,0,0,28,3.8078865530000003,0
1,1,0,22,3.5355339060000004,0
0,0,0,31,3.674234614,0
1,1,0,29,2.34520788,0
0,0,0,37,0.7071067809999999,0
1,1,0,35,1.58113883,0
1,0,0,30,2.738612788,0
0,0,1,36,4.415880433,0
1,1,0,24,2.915475947,1
1,1,0,22,3.3911649919999998,0
0,0,0,29,4.062019202,0
1,0,0,31,2.34520788,0
1,1,0,28,1.8708286930000002,1
0,0,1,34,2.549509757,0
0,1,0,41,2.121320344,0
1,1,0,26,4.949747468,1
1,0,0,27,1.8708286930000002,0
0,1,0,36,4.847679857,0
1,1,0,18,1.224744871,1
1,1,0,20,0.7071067809999999,1
0,0,0,37,3.8078865530000003,0
1,1,0,37,2.738612788,0
1,4,0,25,2.549509757,1
0,4,0,25,4.062019202,1
1,1,0,25,2.915475947,0
1,0,0,26,3.674234614,1
0,0,0,28,3.5355339060000004,0
0,1,0,24,2.34520788,0
0,0,0,35,4.062019202,0
0,1,0,34,2.121320344,0
0,1,0,31,3.240370349,0
1,0,0,24,2.915475947,1
1,1,0,37,2.549509757,0
0,0,0,31,1.58113883,0
1,1,0,23,2.34520788,1
1,0,0,21,3.937003937,1
1,1,0,30,4.415880433,0
0,1,0,25,1.8708286930000002,0
0,1,0,32,1.224744871,0
1,0,0,35,3.0822070010000004,1
0,4,0,18,3.0822070010000004,0
0,1,0,21,2.121320344,1
0,1,0,36,4.527692569,0
0,0,0,36,3.674234614,0
0,0,0,30,3.0822070010000004,0
0,1,0,20,1.224744871,1
1,1,0,35,3.8078865530000003,1
1,1,1,34,3.240370349,0
1,0,0,25,3.0822070010000004,1
1,0,0,23,2.915475947,0
0,0,1,33,3.8078865530000003,0
0,0,0,34,3.240370349,0
1,0,0,26,3.0822070010000004,0
1,1,0,27,3.240370349,1
1,0,0,27,4.949747468,0
1,1,0,25,2.121320344,0
1,0,0,25,1.58113883,0
0,0,0,37,1.8708286930000002,0
0,1,0,28,2.738612788,0
0,0,0,26,2.34520788,0
0,0,0,34,2.34520788,0
0,0,0,26,4.183300133,1
0,0,0,28,2.121320344,0
0,1,1,30,1.8708286930000002,0
0,0,0,31,1.8708286930000002,0
0,0,0,26,3.5355339060000004,0
1,0,0,33,3.674234614,0
0,1,0,40,1.8708286930000002,0
1,0,0,32,2.738612788,0
1,1,0,41,1.8708286930000002,0
1,4,0,39,1.8708286930000002,1
1,0,0,24,0.7071067809999999,1
1,0,0,26,2.34520788,0
1,0,0,29,4.062019202,0
0,0,0,23,3.5355339060000004,0
1,0,0,34,3.674234614,0
1,1,0,29,2.549509757,0
0,4,0,29,3.0822070010000004,0
0,1,0,26,1.8708286930000002,0
1,0,0,31,2.121320344,0
0,0,0,35,5.958187644,0
0,1,0,33,2.738612788,0
0,1,0,26,1.58113883,1
1,0,0,31,4.062019202,0
1,1,0,35,2.121320344,0
1,0,0,30,2.34520788,0
0,0,0,30,3.8078865530000003,0
1,1,0,28,1.8708286930000002,0
0,1,0,28,2.738612788,0
0,0,0,29,3.0822070010000004,0
0,1,0,26,2.34520788,0
0,0,0,35,3.240370349,0
1,0,0,30,3.674234614,0
0,0,0,25,2.915475947,0
1,0,1,34,0.7071067809999999,1
1,0,0,32,1.8708286930000002,0
1,1,0,30,1.8708286930000002,0
0,0,0,22,2.549509757,0
1,0,0,27,4.062019202,0
1,1,0,22,1.58113883,1
1,1,0,26,1.224744871,0
1,1,0,35,2.549509757,0
0,0,0,31,1.58113883,0
0,1,0,27,3.240370349,1
0,1,0,36,1.58113883,0
0,1,0,23,3.3911649919999998,0
0,1,1,35,2.915475947,0
0,1,0,26,3.5355339060000004,1
1,0,1,26,2.915475947,0
1,1,0,33,1.224744871,0
0,0,0,31,2.121320344,0
0,1,0,35,1.224744871,0
0,1,1,30,2.549509757,0
0,4,0,35,4.527692569,1
0,0,0,33,2.121320344,0
0,0,0,28,3.8078865530000003,0
0,0,1,24,3.240370349,0
1,1,0,30,3.937003937,0
0,1,0,17,1.224744871,0
0,4,0,27,0.7071067809999999,1
0,0,0,23,2.34520788,0
1,0,0,23,3.8078865530000003,1
1,1,0,25,2.915475947,1
0,1,0,39,1.224744871,0
1,1,0,33,1.58113883,0
0,1,0,20,3.0822070010000004,0
0,0,0,34,2.738612788,0
1,0,0,34,0.7071067809999999,0
0,0,1,27,1.8708286930000002,1
0,0,0,30,1.58113883,0
0,1,0,24,2.34520788,0
0,0,0,33,2.549509757,0
1,0,0,25,4.74341649,0
0,0,0,31,4.74341649,0
0,1,0,33,3.0822070010000004,0
0,1,0,35,2.121320344,0
1,1,0,29,1.58113883,0
0,0,0,20,3.240370349,1
1,1,0,35,4.527692569,0
0,1,0,17,3.5355339060000004,1
1,4,0,33,1.8708286930000002,1
1,4,0,32,2.121320344,0
0,1,0,32,1.58113883,0
0,1,1,25,3.240370349,1
1,1,0,34,3.674234614,0
0,4,0,23,1.58113883,1
1,0,1,39,2.121320344,0
1,1,0,38,3.0822070010000004,0
1,0,0,23,3.0822070010000004,0
0,0,0,28,4.6368092480000005,0
0,1,0,31,3.8078865530000003,0
1,0,0,36,2.738612788,0
0,0,0,31,2.738612788,0
1,0,0,27,2.738612788,0
0,1,0,26,2.915475947,1
1,1,1,21,2.549509757,1
0,0,0,32,3.240370349,0
0,1,0,32,3.937003937,0
1,0,0,45,2.34520788,0
0,0,0,28,4.527692569,0
1,0,0,27,2.121320344,1
0,1,0,21,0.7071067809999999,0
1,1,1,35,3.240370349,0
1,1,0,29,1.8708286930000002,0
1,0,0,30,1.8708286930000002,0
1,0,0,33,4.183300133,0
1,0,0,34,3.240370349,0
0,4,0,33,3.5355339060000004,0
0,1,0,36,4.301162634,0
0,0,0,36,2.34520788,0
1,1,0,27,1.58113883,0
0,0,0,25,1.224744871,0
0,1,0,30,2.121320344,0
0,0,0,34,3.5355339060000004,0
1,0,0,28,2.34520788,0
0,0,0,27,3.0822070010000004,1
0,0,0,26,3.3911649919999998,0
1,1,1,36,1.224744871,1
0,0,0,36,2.915475947,0
1,0,0,28,3.8078865530000003,0
0,0,0,33,3.937003937,0
1,1,0,30,3.8078865530000003,0
1,1,0,25,4.062019202,0
0,0,0,29,2.915475947,0
1,0,0,30,0.7071067809999999,0
1,1,0,31,3.0822070010000004,0
1,1,0,27,1.8708286930000002,0
1,4,0,35,1.224744871,1
1,0,0,29,3.937003937,0
0,4,0,40,1.224744871,1
1,1,0,38,3.0822070010000004,0
0,1,0,31,3.240370349,0
1,0,1,35,2.738612788,0
0,1,0,30,4.183300133,0
0,1,0,31,1.58113883,0
1,0,0,39,2.549509757,0
0,1,1,32,3.5355339060000004,0
0,1,0,24,2.34520788,1
1,0,0,33,2.34520788,1
0,0,0,24,1.224744871,1
0,1,0,42,5.338539126000001,0
1,0,1,35,3.674234614,0
0,1,0,34,2.34520788,0
0,1,0,36,2.915475947,0
0,1,0,34,1.58113883,0
0,0,0,22,4.301162634,1
0,0,0,26,3.674234614,1
1,0,0,32,3.0822070010000004,0
1,1,0,32,3.0822070010000004,0
1,1,0,29,2.738612788,0
1,0,0,25,1.224744871,0
1,0,0,31,3.8078865530000003,0
0,1,0,33,0.7071067809999999,0
0,1,0,28,1.224744871,0
1,0,0,25,2.121320344,1
1,1,0,23,2.915475947,1
0,1,0,25,0.7071067809999999,1
1,0,0,29,2.34520788,0
0,1,0,31,3.0822070010000004,0
1,1,0,28,3.240370349,0
0,0,0,33,2.34520788,0
0,4,0,35,3.0822070010000004,0
1,1,0,40,1.8708286930000002,0
0,0,0,25,2.121320344,1
0,1,0,37,3.937003937,0
1,4,0,30,0.7071067809999999,1
1,0,0,30,4.527692569,0
0,1,0,26,3.5355339060000004,1
1,0,0,37,1.224744871,1
1,1,0,27,3.240370349,0
0,0,0,36,3.937003937,0
0,0,0,34,2.738612788,0
1,1,0,25,1.8708286930000002,1
1,1,0,36,4.183300133,0
1,0,0,28,2.549509757,0
1,1,0,22,5.700877125,0
1,0,0,26,2.121320344,1
0,0,0,30,3.0822070010000004,0
1,1,0,30,1.58113883,0
1,1,1,30,0.7071067809999999,0
1,1,0,27,2.34520788,0
1,0,0,28,2.121320344,0
0,0,0,34,3.3911649919999998,0
0,1,0,35,2.121320344,0
0,4,0,36,2.915475947,0
1,0,0,26,3.674234614,1
0,0,0,33,3.240370349,0
0,0,0,26,1.224744871,1
0,0,0,37,1.224744871,0
0,1,0,26,2.549509757,1
1,0,0,31,4.062019202,0
1,0,0,41,1.58113883,0
1,1,0,33,2.738612788,0
1,1,0,27,0.7071067809999999,1
0,0,0,33,2.121320344,0
0,1,0,36,0.7071067809999999,0
1,1,0,34,2.738612788,0
0,1,0,19,3.674234614,1
1,1,1,35,1.58113883,0
1,1,0,32,2.915475947,0
1,0,0,30,4.183300133,0
0,0,0,33,1.8708286930000002,0
0,1,0,29,0.7071067809999999,0
0,0,0,30,0.7071067809999999,0
0,0,0,31,3.5355339060000004,0
0,0,0,28,1.58113883,0
1,1,0,26,3.240370349,1
1,1,1,26,1.8708286930000002,1
1,4,0,28,2.121320344,1
1,0,0,30,3.0822070010000004,0
0,0,0,32,3.8078865530000003,0
1,1,0,32,0.7071067809999999,0
1,4,0,29,0.7071067809999999,0
0,0,0,30,3.5355339060000004,0
0,1,0,30,2.121320344,0
1,0,0,25,3.3911649919999998,0
1,1,0,32,2.121320344,0
1,0,0,33,1.8708286930000002,0
0,0,0,25,3.8078865530000003,0
1,0,0,29,3.937003937,0
1,0,0,35,3.937003937,0
0,0,1,28,3.3911649919999998,0
1,0,0,35,4.6368092480000005,0
1,0,1,24,2.738612788,1
1,0,0,35,3.674234614,0
1,0,0,37,0.7071067809999999,0
1,1,0,26,2.549509757,0
0,0,0,37,1.58113883,0
0,1,0,36,1.8708286930000002,0
1,0,0,27,3.3911649919999998,1
1,1,0,29,4.062019202,0
1,4,0,30,3.937003937,0
0,0,0,42,5.958187644,0
1,0,0,37,0.7071067809999999,1
1,1,0,34,3.674234614,1
1,0,0,30,2.549509757,0
1,0,0,29,1.8708286930000002,0
0,0,0,33,3.0822070010000004,0
1,4,0,33,4.183300133,1
0,1,0,26,1.58113883,1
0,0,0,29,1.8708286930000002,0
0,1,0,26,3.674234614,1
0,4,0,28,3.3911649919999998,0
1,0,0,36,2.915475947,1
0,0,0,23,2.121320344,0
0,0,0,29,2.915475947,0
0,1,0,29,3.0822070010000004,0
1,0,0,32,3.674234614,0
1,0,1,30,3.937003937,0
0,0,1,27,1.8708286930000002,0
1,1,1,37,2.915475947,0
1,1,0,22,1.8708286930000002,1
0,4,1,20,1.8708286930000002,0
1,0,0,44,0.7071067809999999,0
0,0,0,35,2.738612788,0
0,0,0,30,3.8078865530000003,0
0,1,0,28,2.915475947,0
0,1,1,32,2.121320344,0
0,0,0,33,0.7071067809999999,0
0,1,0,32,2.738612788,0
1,0,0,35,3.5355339060000004,0
0,1,0,38,2.915475947,0
0,0,1,24,5.244044241,0
0,1,1,24,3.240370349,0
1,1,0,36,2.738612788,0
0,0,0,26,2.549509757,1
0,1,0,27,1.8708286930000002,0
0,0,0,35,1.58113883,0
1,1,0,29,1.58113883,0
0,0,1,30,2.34520788,0
1,1,0,28,2.34520788,0
0,1,0,22,3.674234614,1
0,0,0,32,2.121320344,0
0,1,0,31,3.8078865530000003,0
1,4,0,28,0.7071067809999999,0
1,0,0,22,3.3911649919999998,1
1,1,0,26,2.34520788,1
0,0,0,33,1.224744871,0
0,1,0,38,5.14781507,0
1,1,0,20,4.183300133,0
1,1,0,28,2.915475947,1
1,0,0,36,2.738612788,0
1,0,0,33,4.183300133,0
1,1,0,38,1.58113883,0
1,1,0,30,4.062019202,0
0,0,0,30,1.58113883,0
1,1,0,31,3.5355339060000004,0
1,1,0,32,1.58113883,0
1,1,0,33,1.8708286930000002,0
0,1,0,29,4.415880433,0
0,1,0,35,3.0822070010000004,0
1,0,0,43,1.224744871,0
1,1,0,23,2.34520788,0
1,1,0,26,4.062019202,0
1,1,0,37,2.34520788,0
1,1,0,28,2.738612788,0
1,1,0,28,3.674234614,0
0,0,0,28,3.240370349,0
1,4,0,21,2.738612788,1
0,1,0,31,2.121320344,0
0,4,0,34,1.224744871,1
0,1,0,35,2.915475947,0
0,1,0,32,1.8708286930000002,0
1,1,0,32,3.0822070010000004,0
1,1,1,32,3.0822070010000004,0
1,1,0,35,4.062019202,0
0,1,0,34,1.224744871,0
1,1,1,37,1.8708286930000002,0
0,9,0,32,0.7071067809999999,0
0,1,1,39,1.8708286930000002,0
0,1,0,36,2.915475947,0
1,1,0,26,0.7071067809999999,1
0,0,0,25,3.240370349,1
0,0,0,25,1.8708286930000002,0
0,0,1,33,2.34520788,0
0,0,0,28,3.937003937,0
1,0,0,18,1.58113883,1
0,1,1,30,1.58113883,0
1,1,0,34,3.674234614,0
1,1,0,31,2.738612788,0
0,0,0,32,3.240370349,0
0,0,0,24,1.8708286930000002,1
0,0,0,34,3.674234614,0
0,1,0,32,2.549509757,0
0,0,0,33,1.58113883,0
0,0,0,22,3.3911649919999998,1
0,0,0,30,3.5355339060000004,0
1,0,0,28,1.224744871,0
0,1,0,22,3.674234614,0
1,4,0,32,4.74341649,1
1,0,0,28,2.121320344,0
0,0,0,27,2.34520788,0
0,0,0,25,3.3911649919999998,0
0,1,0,20,0.7071067809999999,1
0,1,0,33,1.8708286930000002,0
1,1,0,33,2.738612788,0
1,0,0,30,3.240370349,0
1,0,0,33,2.738612788,1
1,0,0,29,2.34520788,0
0,0,0,33,1.224744871,0
1,1,1,33,3.3911649919999998,0
0,0,0,19,2.34520788,0
0,0,0,29,2.121320344,0
1,4,0,20,3.674234614,1
0,1,0,27,2.34520788,0
0,0,0,29,3.3911649919999998,0
1,1,0,29,3.0822070010000004,0
1,0,0,33,1.58113883,1
0,0,0,31,3.0822070010000004,0
1,1,0,30,3.0822070010000004,0
0,0,1,41,4.062019202,0
1,0,0,31,3.8078865530000003,0
0,0,0,31,4.74341649,0
0,0,0,32,4.183300133,0
1,0,0,30,1.224744871,0
0,1,0,23,2.738612788,0
0,1,0,28,1.58113883,1
0,0,0,32,0.7071067809999999,0
0,0,0,38,3.5355339060000004,0
0,0,0,37,2.915475947,0
1,1,0,27,0.7071067809999999,1
0,1,0,35,3.3911649919999998,1
0,1,0,29,2.549509757,1
0,1,0,28,1.224744871,0
0,1,0,38,2.738612788,0
1,1,0,35,1.8708286930000002,0
1,0,0,23,2.34520788,0
0,4,0,31,2.549509757,1
1,0,0,31,2.121320344,0
1,1,0,28,1.8708286930000002,0
1,0,0,25,3.3911649919999998,0
0,0,0,28,0.7071067809999999,0
1,0,0,27,1.58113883,1
1,1,0,24,1.8708286930000002,1
1,0,0,33,3.5355339060000004,0
0,1,0,35,2.915475947,0
0,0,0,24,2.121320344,1
0,1,0,46,2.121320344,0
1,0,1,27,4.415880433,1
1,0,0,32,0.7071067809999999,0
0,0,0,39,2.915475947,0
0,0,1,22,4.062019202,0
1,0,0,31,3.674234614,0
0,0,0,34,2.121320344,0
0,0,0,33,3.937003937,0
1,1,0,29,3.0822070010000004,0
1,1,0,29,1.58113883,0
1,1,0,27,3.937003937,1
0,0,0,28,0.7071067809999999,0
0,1,0,29,1.224744871,1
0,0,1,29,2.34520788,0
0,0,0,26,3.240370349,1
0,4,0,34,1.8708286930000002,1
1,0,0,31,1.224744871,0
1,0,0,26,1.224744871,0
1,0,0,32,2.738612788,0
0,0,0,33,0.7071067809999999,0
1,1,1,28,3.240370349,0
1,0,0,36,2.549509757,0
0,1,0,26,2.738612788,1
0,1,0,25,2.34520788,1
0,1,0,34,1.8708286930000002,1
0,1,0,31,3.3911649919999998,0
0,1,0,28,2.549509757,0
1,1,1,35,4.062019202,0
0,1,0,38,1.8708286930000002,0
0,0,1,33,4.183300133,0
0,0,0,26,2.738612788,1
1,1,0,37,2.738612788,0
1,0,0,29,2.121320344,0
0,1,0,30,2.34520788,0
1,0,1,30,3.674234614,0
0,0,0,33,2.549509757,0
0,4,1,29,4.183300133,0
0,1,0,29,0.7071067809999999,0
1,0,1,22,2.549509757,1
0,1,0,23,1.224744871,1
1,0,0,29,1.58113883,0
0,1,0,19,2.121320344,0
1,0,0,30,2.34520788,0
0,0,0,32,4.062019202,0
0,1,0,33,1.58113883,0
0,0,0,35,0.7071067809999999,0
1,0,0,25,1.224744871,0
1,0,0,23,1.224744871,1
0,1,0,25,2.121320344,0
1,1,0,31,1.224744871,0
0,1,1,27,2.549509757,1
1,1,0,27,2.549509757,1
1,1,0,34,2.549509757,0
1,1,0,35,3.674234614,0
1,1,0,28,1.58113883,0
1,1,0,32,2.915475947,0
1,0,0,34,2.34520788,0
1,1,1,27,4.415880433,1
0,0,0,20,3.240370349,1
1,4,0,18,2.121320344,1
0,4,0,31,3.8078865530000003,0
0,0,1,37,3.0822070010000004,0
1,1,0,26,3.0822070010000004,0
1,1,0,31,4.062019202,0
0,0,0,19,2.34520788,1
0,4,0,27,3.240370349,0
0,0,1,30,2.121320344,0
1,1,0,37,1.58113883,0
0,0,0,23,1.224744871,0
0,0,0,31,3.674234614,0
1,0,0,27,3.3911649919999998,0
0,0,0,23,1.224744871,0
1,0,0,29,1.8708286930000002,0
1,1,0,30,0.7071067809999999,0
1,1,0,30,2.549509757,0
1,0,1,32,4.6368092480000005,0
0,0,0,32,0.7071067809999999,0
0,0,0,23,1.224744871,0
1,0,0,38,3.0822070010000004,0
1,1,0,27,2.738612788,1
1,0,0,28,3.674234614,0
1,0,0,27,3.240370349,0
0,0,0,25,3.8078865530000003,1
1,0,0,28,4.527692569,0
0,1,0,29,0.7071067809999999,0
1,1,0,30,2.549509757,0
0,1,0,22,5.244044241,0
0,1,0,26,1.8708286930000002,1
1,1,0,29,4.74341649,1
0,0,0,34,2.34520788,0
1,0,0,26,2.549509757,0
1,1,0,20,2.549509757,1
0,0,0,32,3.240370349,0
1,0,0,26,1.8708286930000002,0
1,0,0,40,1.8708286930000002,0
1,4,0,26,3.5355339060000004,1
1,0,0,26,5.0497524689999995,0
1,1,1,28,0.7071067809999999,0
0,1,0,32,0.7071067809999999,0
1,1,0,38,2.738612788,1
0,1,0,28,4.301162634,0
0,1,0,32,3.5355339060000004,1
0,1,0,28,2.738612788,0
1,1,0,28,2.549509757,0
1,0,0,20,2.121320344,1
1,0,1,37,4.062019202,0
1,1,0,30,3.674234614,0
1,1,0,36,1.8708286930000002,0
1,1,0,23,0.7071067809999999,1
0,0,0,28,2.549509757,0
0,0,0,35,2.738612788,0
1,0,0,36,3.5355339060000004,0
0,0,0,37,3.3911649919999998,0
0,0,0,30,4.949747468,0
1,1,0,29,1.58113883,1
0,0,0,27,3.240370349,0
0,1,0,31,3.240370349,0
0,1,0,33,2.34520788,0
1,4,1,22,0.7071067809999999,1
1,0,1,23,4.301162634,0
0,1,0,27,0.7071067809999999,1
1,0,0,34,1.224744871,0
1,1,0,29,3.240370349,0
0,1,0,38,1.58113883,0
1,1,0,28,4.74341649,0
1,0,0,25,3.3911649919999998,0
1,0,0,30,3.3911649919999998,0
1,4,0,28,0.7071067809999999,1
1,1,0,25,3.674234614,0
0,0,0,29,5.61248608,0
0,4,0,31,1.224744871,1
1,0,1,36,3.0822070010000004,0
1,0,0,17,1.224744871,0
1,1,0,33,3.5355339060000004,0
1,1,0,25,1.8708286930000002,1
0,1,0,27,1.224744871,0
1,1,0,21,3.674234614,1
1,1,0,28,2.738612788,0
0,0,0,35,3.937003937,0
0,1,0,27,2.738612788,1
1,0,0,32,2.549509757,0
0,0,0,23,3.674234614,0
1,1,0,31,3.5355339060000004,0
0,1,1,30,1.58113883,0
1,0,0,35,1.58113883,0
1,0,0,28,1.58113883,0
1,0,0,33,3.0822070010000004,0
1,0,0,34,1.8708286930000002,0
1,4,0,21,1.8708286930000002,1
0,0,0,33,2.915475947,0
0,0,0,31,4.062019202,0
1,1,0,25,2.121320344,1
0,1,0,37,0.7071067809999999,0
0,1,0,34,2.34520788,0
1,1,0,19,3.240370349,1
0,0,0,39,1.58113883,0
0,0,0,37,2.34520788,0
1,0,0,32,1.224744871,0
1,0,0,29,3.0822070010000004,0
1,0,1,28,2.34520788,0
1,1,0,31,3.3911649919999998,0
0,1,0,37,2.738612788,0
1,0,0,23,1.8708286930000002,0
1,0,0,32,1.58113883,0
0,1,0,35,2.121320344,0
0,0,0,29,2.34520788,0
1,1,0,27,4.847679857,0
1,1,0,31,3.674234614,0
1,0,0,30,3.240370349,0
0,4,0,20,2.121320344,0
1,0,0,29,1.224744871,1
1,1,0,27,2.34520788,0
1,0,0,29,3.240370349,0
0,1,0,34,2.549509757,0
0,0,0,20,2.549509757,0
1,0,0,22,2.549509757,1
1,0,0,32,2.738612788,0
0,1,0,28,1.58113883,0
1,1,1,38,3.5355339060000004,1
1,1,0,37,2.738612788,0
1,1,0,34,3.3911649919999998,1
0,1,0,29,3.5355339060000004,0
0,0,1,34,1.58113883,0
0,1,0,38,3.0822070010000004,0
0,1,0,25,3.937003937,1
0,0,0,36,1.224744871,0
0,0,0,30,1.224744871,0
0,1,0,29,3.674234614,0
0,1,0,28,2.549509757,0
1,4,0,37,2.121320344,0
1,0,0,25,1.224744871,1
0,1,0,36,3.240370349,0
1,0,0,30,2.738612788,0
1,0,0,36,2.121320344,0
0,1,1,13,3.0822070010000004,1
1,1,0,33,1.58113883,1
0,0,0,34,0.7071067809999999,0
1,1,1,32,3.5355339060000004,0
0,1,0,39,3.3911649919999998,0
1,0,0,25,3.240370349,0
0,1,0,40,4.062019202,0
0,0,0,32,2.738612788,0
0,0,0,26,1.58113883,1
1,1,0,32,2.549509757,1
1,0,0,36,3.3911649919999998,0
1,1,0,29,2.121320344,0
1,0,0,32,1.224744871,0
1,0,1,32,1.224744871,0
